topk,recall,count
1,0.08215855825664407,18632
10,0.3044302653220508,69039
20,0.4114454032745248,93308
30,0.47259691067593845,107176
40,0.5123753753621335,116197
50,0.5412843227607251,122753
60,0.5622164114277651,127500
70,0.5781613098099047,131116
80,0.5916941895485072,134185
90,0.6030796230724796,136767
100,0.612939355589754,139003
110,0.621754027012845,141002
120,0.6313403680202486,143176
130,0.6402388207124936,145194
140,0.648136307715373,146985
150,0.6552665346744215,148602
160,0.6619602171257734,150120
170,0.6686759472795339,151643
180,0.6742275587461031,152902
190,0.6794572737575018,154088
200,0.6850838474122611,155364
210,0.6898726083754811,156450
220,0.6943041965596766,157455
230,0.6986475939342361,158440
240,0.7025323990986899,159321
250,0.7062540512653176,160165
260,0.7097949122721922,160968
270,0.713349001900512,161774
280,0.7164709565616167,162482
290,0.7196325970870575,163199
300,0.7225561224264819,163862
310,0.725404685577716,164508
320,0.7283987635648489,165187
330,0.7309474779633215,165765
340,0.7334873732808304,166341
350,0.7358023820337682,166866
360,0.7383643250536862,167447
370,0.7407366578328872,167985
380,0.7430384379643797,168507
390,0.7452035223409369,168998
400,0.7473024636102672,169474
410,0.749348490393816,169938
420,0.7512445928009842,170368
430,0.7530789616414073,170784
440,0.7550500262367659,171231
450,0.7570916434798329,171694
460,0.7589348314012196,172112
470,0.7607471525392339,172523
480,0.7623213584912316,172880
490,0.7640322601981647,173268
